Kanji;Reading;Translation
青い;あおい;blue (adjective) | azure​
青白い;あおじろ;pale| pallid
青空;あおぞら;blue sky​
青田;あおた;green paddy
青山;せいざん;lush mountain| green mountain​| grave| burial place​
赤ちゃん;あかちゃん;baby| infant​
赤い;あかい;red (adjective)
赤字;あかじ;(being in) the red| deficit​
赤らむ;あからむ;to blush​
早い;はやい;early
早口;はやくち;fast-talking| rapid talking​
大きい;おおきい;large
大学;だいがく;university| college​
大人;おとな;adult| grown-up​
大きな;おおきな;big| large| great​
大好き;だいすき;liking very much| loving (something or someone)
大学生;だいがくせい;university student| college student​
大いに;おおいに;very| very much| greatly
大気;たいき;atmosphere| air​| magnanimity| generosity
大した;たいした;considerable| great| important| significant| a big deal​
大人しい;おとなしい;gentle| quiet| docile
大げさ;おおげさ;exaggerated
大水;おおみず;flood
大文字;おおもじ;uppercase letter| large character
大木;たいぼく;large tree​
大雨;おおあめ;heavy rain
大手;おおて;big company​
大火;たいか;large fire​
大さじ;おおさじ;tablespoon​
大口;おおぐち;big mouth| bragging
大人になる;おとなになる;to grow up| to become an adult​
白い;しろい;white​ (adjective)
小学校;しょうがっこう;primary school
小さい;ちいさい;small
小さい;ちいさい;small| little| tiny
小さな;ちいさな;small| little| tiny
小学生;しょうがくせい;primary school student
小川;おがわ;stream| brook
小山;こやま;hill| knoll​
子牛;こうし;calf
小雨;こさめ;light rain
小さじ;こさじ;teaspoon​
小文字;こもじ;lowercase letter​
万;まん;Ten thousand
語;ご;language
明;めい;brightness
行;こう;going| travelling| traveling
食;しょく;food
好き;すき;like
今;いま;now
月曜日;げつようび;Monday
火曜日;かようび;Tuesday
水曜日;すいようび;Wednesday
木曜日;もくようび;Thursday
金曜日;きんようび;Friday
土曜日;どようび;Saturday
日曜日;にちようび;Sunday
明るい;あかるい;bright (in reference to personality or weather)| cheerful
明日;あした;tomorrow
行く;いく| ゆく;to go
入口;いりぐち;entrance
生まれる;うまれる;to be born
お金;おかね;money
下さい;ください;(with te-form verb) please do for me
好き;すき;liking| fondness| love
先月;せんげつ;last month
出す;だす;to take (something) out| to hand in (something)
食べる;たべる;to eat
出かける;でかける;to go out| to depart
出口;でぐち;an exit
出る;でる;to appear| to leave
下手;へた;unskillful| poor
円い;まるい;round| circular
休む;やすむ;to rest| to have a break| to get time off
私;わたし;me
今;いま;now
今日;きょう;today
今月;こんげつ;this month
火山;かざん;volcano
校;;school
出;;exit
正;;correct
生;;life
学;;learning
休;;to rest
見;;see
入;;enter
立;;stand up
早;;early
小;;small
曜;;
